Código ,Descripción ,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
27630,"EXCISION OF LESION OF TENDON SHEATH OR CAPSULE (EG, CYST OR GANGLION), LEG AND/OR ANKLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27632,"EXCISION, TUMOR, SOFT TISSUE OF LEG OR ANKLE AREA, SUBCUTANEOUS; 3 CM OR GREATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27634,"EXCISION, TUMOR, SOFT TISSUE OF LEG OR ANKLE AREA, SUBFASCIAL (EG, INTRAMUSCULAR); 5 CM OR GREATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27635,"EXCISION OR CURETTAGE OF BONE CYST OR BENIGN TUMOR, TIBIA OR FIBULA;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27637,"EXCISION OR CURETTAGE OF BONE CYST OR BENIGN TUMOR, TIBIA OR FIBULA; WITH AUTOGRAFT (INCLUDES OBTAINING GRAFT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27638,"EXCISION OR CURETTAGE OF BONE CYST OR BENIGN TUMOR, TIBIA OR FIBULA; WITH ALLOGRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27640,"PARTIAL EXCISION (CRATERIZATION, SAUCERIZATION, OR DIAPHYSECTOMY), BONE (EG, OSTEOMYELITIS); TIBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27641,"PARTIAL EXCISION (CRATERIZATION, SAUCERIZATION, OR DIAPHYSECTOMY), BONE (EG, OSTEOMYELITIS); FIBULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27645,RADICAL RESECTION OF TUMOR; TIBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27646,RADICAL RESECTION OF TUMOR; FIBULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27647,RADICAL RESECTION OF TUMOR; TALUS OR CALCANEUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27648,INJECTION PROCEDURE FOR ANKLE ARTHROGRAPHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27650,"REPAIR, PRIMARY, OPEN OR PERCUTANEOUS, RUPTURED ACHILLES TENDON;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27652,"REPAIR, PRIMARY, OPEN OR PERCUTANEOUS, RUPTURED ACHILLES TENDON; WITH GRAFT (INCLUDES OBTAINING GRAFT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27654,"REPAIR, SECONDARY, ACHILLES TENDON, WITH OR WITHOUT GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27656,"REPAIR, FASCIAL DEFECT OF LEG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27658,"REPAIR, FLEXOR TENDON, LEG; PRIMARY, WITHOUT GRAFT, EACH TENDON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27659,"REPAIR, FLEXOR TENDON, LEG; SECONDARY, WITH OR WITHOUT GRAFT, EACH TENDON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27664,"REPAIR, EXTENSOR TENDON, LEG; PRIMARY, WITHOUT GRAFT, EACH TENDON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27665,"REPAIR, EXTENSOR TENDON, LEG; SECONDARY, WITH OR WITHOUT GRAFT, EACH TENDON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27675,"REPAIR, DISLOCATING PERONEAL TENDONS; WITHOUT FIBULAR OSTEOTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27676,"REPAIR, DISLOCATING PERONEAL TENDONS; WITH FIBULAR OSTEOTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27680,"TENOLYSIS, FLEXOR OR EXTENSOR TENDON, LEG AND/OR ANKLE; SINGLE, EACH TENDON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27681,"TENOLYSIS, FLEXOR OR EXTENSOR TENDON, LEG AND/OR ANKLE; MULTIPLE TENDONS (THROUGH SEPARATE INCISION[S])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27685,"LENGTHENING OR SHORTENING OF TENDON, LEG OR ANKLE; SINGLE TENDON (SEPARATE PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27686,"LENGTHENING OR SHORTENING OF TENDON, LEG OR ANKLE; MULTIPLE TENDONS (THROUGH SAME INCISION), EACH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27687,"GASTROCNEMIUS RECESSION (EG, STRAYER PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27690,"TRANSFER OR TRANSPLANT OF SINGLE TENDON (WITH MUSCLE REDIRECTION OR REROUTING); SUPERFICIAL (EG, ANTERIOR TIBIAL EXTENSORS INTO MIDFOOT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27691,"TRANSFER OR TRANSPLANT OF SINGLE TENDON (WITH MUSCLE REDIRECTION OR REROUTING); DEEP (EG, ANTERIOR TIBIAL OR POSTERIOR TIBIAL THROUGH INTEROSSEOUS SPACE, FLEXOR DIGITORUM LONGUS, FLEXOR HALLUCIS LONGUS, OR PERONEAL TENDON TO MIDFOOT OR HINDFOOT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27692,TRANSFER OR TRANSPLANT OF SINGLE TENDON (WITH MUSCLE REDIRECTION OR REROUTING); EACH ADDITIONAL TENDON (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27695,"REPAIR, PRIMARY, DISRUPTED LIGAMENT, ANKLE; COLLATERAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27696,"REPAIR, PRIMARY, DISRUPTED LIGAMENT, ANKLE; BOTH COLLATERAL LIGAMENTS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27698,"REPAIR, SECONDARY, DISRUPTED LIGAMENT, ANKLE, COLLATERAL (EG, WATSON-JONES PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27700,"ARTHROPLASTY, ANKLE;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27702,"ARTHROPLASTY, ANKLE; WITH IMPLANT (TOTAL ANKLE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27703,"ARTHROPLASTY, ANKLE; REVISION, TOTAL ANKLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27704,REMOVAL OF ANKLE IMPLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27705,OSTEOTOMY; TIBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27707,OSTEOTOMY; FIBULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27709,OSTEOTOMY; TIBIA AND FIBULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27712,"OSTEOTOMY; MULTIPLE, WITH REALIGNMENT ON INTRAMEDULLARY ROD (EG, SOFIELD TYPE PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27715,"OSTEOPLASTY, TIBIA AND FIBULA, LENGTHENING OR SHORTENING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27720,"REPAIR OF NONUNION OR MALUNION, TIBIA; WITHOUT GRAFT, (EG, COMPRESSION TECHNIQUE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27722,"REPAIR OF NONUNION OR MALUNION, TIBIA; WITH SLIDING GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27724,"REPAIR OF NONUNION OR MALUNION, TIBIA; WITH ILIAC OR OTHER AUTOGRAFT (INCLUDES OBTAINING GRAFT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27725,"REPAIR OF NONUNION OR MALUNION, TIBIA; BY SYNOSTOSIS, WITH FIBULA, ANY METHOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27726,REPAIR OF FIBULA NONUNION AND/OR MALUNION WITH INTERNAL FIXATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27727,"REPAIR OF CONGENITAL PSEUDARTHROSIS, TIBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27730,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), OPEN; DISTAL TIBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27732,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), OPEN; DISTAL FIBULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27734,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), OPEN; DISTAL TIBIA AND FIBULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27740,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), ANY METHOD, COMBINED, PROXIMAL AND DISTAL TIBIA AND FIBULA;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27742,"ARREST, EPIPHYSEAL (EPIPHYSIODESIS), ANY METHOD, COMBINED, PROXIMAL AND DISTAL TIBIA AND FIBULA; AND DISTAL FEMUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27745,"PROPHYLACTIC TREATMENT (NAILING, PINNING, PLATING OR WIRING) WITH OR WITHOUT METHYLMETHACRYLATE, TIBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27750,CLOSED TREATMENT OF TIBIAL SHAFT FRACTURE (WITH OR WITHOUT FIBULAR FRACTURE); WITHOUT MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27752,"CLOSED TREATMENT OF TIBIAL SHAFT FRACTURE (WITH OR WITHOUT FIBULAR FRACTURE); WITH MANIPULATION, WITH OR WITHOUT SKELETAL TRACTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27756,"PERCUTANEOUS SKELETAL FIXATION OF TIBIAL SHAFT FRACTURE (WITH OR WITHOUT FIBULAR FRACTURE) (EG, PINS OR SCREWS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27758,"OPEN TREATMENT OF TIBIAL SHAFT FRACTURE (WITH OR WITHOUT FIBULAR FRACTURE), WITH PLATE/SCREWS, WITH OR WITHOUT CERCLAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27759,"TREATMENT OF TIBIAL SHAFT FRACTURE (WITH OR WITHOUT FIBULAR FRACTURE) BY INTRAMEDULLARY IMPLANT, WITH OR WITHOUT INTERLOCKING SCREWS AND/OR CERCLAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27760,CLOSED TREATMENT OF MEDIAL MALLEOLUS FRACTURE; WITHOUT MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27762,"CLOSED TREATMENT OF MEDIAL MALLEOLUS FRACTURE; WITH MANIPULATION, WITH OR WITHOUT SKIN OR SKELETAL TRACTION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27766,"OPEN TREATMENT OF MEDIAL MALLEOLUS FRACTURE, INCLUDES INTERNAL FIXATION, WHEN PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27767,CLOSED TREATMENT OF POSTERIOR MALLEOLUS FRACTURE; WITHOUT MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27768,CLOSED TREATMENT OF POSTERIOR MALLEOLUS FRACTURE; WITH MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27769,"OPEN TREATMENT OF POSTERIOR MALLEOLUS FRACTURE, INCLUDES INTERNAL FIXATION, WHEN PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27780,CLOSED TREATMENT OF PROXIMAL FIBULA OR SHAFT FRACTURE; WITHOUT MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27781,CLOSED TREATMENT OF PROXIMAL FIBULA OR SHAFT FRACTURE; WITH MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27784,"OPEN TREATMENT OF PROXIMAL FIBULA OR SHAFT FRACTURE, INCLUDES INTERNAL FIXATION, WHEN PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27786,CLOSED TREATMENT OF DISTAL FIBULAR FRACTURE (LATERAL MALLEOLUS); WITHOUT MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27788,CLOSED TREATMENT OF DISTAL FIBULAR FRACTURE (LATERAL MALLEOLUS); WITH MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27792,"OPEN TREATMENT OF DISTAL FIBULAR FRACTURE (LATERAL MALLEOLUS), INCLUDES INTERNAL FIXATION, WHEN PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27808,"CLOSED TREATMENT OF BIMALLEOLAR ANKLE FRACTURE (EG, LATERAL AND MEDIAL MALLEOLI, OR LATERAL AND POSTERIOR MALLEOLI OR MEDIAL AND POSTERIOR MALLEOLI); WITHOUT MANIPULATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27810,"CLOSED TREATMENT OF BIMALLEOLAR ANKLE FRACTURE (EG, LATERAL AND MEDIAL MALLEOLI, OR LATERAL AND POSTERIOR MALLEOLI OR MEDIAL AND POSTERIOR MALLEOLI); WITH MANIPULATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27814,"OPEN TREATMENT OF BIMALLEOLAR ANKLE FRACTURE (EG, LATERAL AND MEDIAL MALLEOLI, OR LATERAL AND POSTERIOR MALLEOLI, OR MEDIAL AND POSTERIOR MALLEOLI), INCLUDES INTERNAL FIXATION, WHEN PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27816,CLOSED TREATMENT OF TRIMALLEOLAR ANKLE FRACTURE; WITHOUT MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27818,CLOSED TREATMENT OF TRIMALLEOLAR ANKLE FRACTURE; WITH MANIPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27822,"OPEN TREATMENT OF TRIMALLEOLAR ANKLE FRACTURE, INCLUDES INTERNAL FIXATION, WHEN PERFORMED, MEDIAL AND/OR LATERAL MALLEOLUS; WITHOUT FIXATION OF POSTERIOR LIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27823,"OPEN TREATMENT OF TRIMALLEOLAR ANKLE FRACTURE, INCLUDES INTERNAL FIXATION, WHEN PERFORMED, MEDIAL AND/OR LATERAL MALLEOLUS; WITH FIXATION OF POSTERIOR LIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27824,"CLOSED TREATMENT OF FRACTURE OF WEIGHT BEARING ARTICULAR PORTION OF DISTAL TIBIA (EG, PILON OR TIBIAL PLAFOND), WITH OR WITHOUT ANESTHESIA; WITHOUT MANIPULATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27825,"CLOSED TREATMENT OF FRACTURE OF WEIGHT BEARING ARTICULAR PORTION OF DISTAL TIBIA (EG, PILON OR TIBIAL PLAFOND), WITH OR WITHOUT ANESTHESIA; WITH SKELETAL TRACTION AND/OR REQUIRING MANIPULATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27826,"OPEN TREATMENT OF FRACTURE OF WEIGHT BEARING ARTICULAR SURFACE/PORTION OF DISTAL TIBIA (EG, PILON OR TIBIAL PLAFOND), WITH INTERNAL FIXATION, WHEN PERFORMED; OF FIBULA ONLY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27827,"OPEN TREATMENT OF FRACTURE OF WEIGHT BEARING ARTICULAR SURFACE/PORTION OF DISTAL TIBIA (EG, PILON OR TIBIAL PLAFOND), WITH INTERNAL FIXATION, WHEN PERFORMED; OF TIBIA ONLY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27828,"OPEN TREATMENT OF FRACTURE OF WEIGHT BEARING ARTICULAR SURFACE/PORTION OF DISTAL TIBIA (EG, PILON OR TIBIAL PLAFOND), WITH INTERNAL FIXATION, WHEN PERFORMED; OF BOTH TIBIA AND FIBULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27829,"OPEN TREATMENT OF DISTAL TIBIOFIBULAR JOINT (SYNDESMOSIS) DISRUPTION, INCLUDES INTERNAL FIXATION, WHEN PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27830,CLOSED TREATMENT OF PROXIMAL TIBIOFIBULAR JOINT DISLOCATION; WITHOUT ANESTHESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27831,CLOSED TREATMENT OF PROXIMAL TIBIOFIBULAR JOINT DISLOCATION; REQUIRING ANESTHESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27832,"OPEN TREATMENT OF PROXIMAL TIBIOFIBULAR JOINT DISLOCATION, INCLUDES INTERNAL FIXATION, WHEN PERFORMED, OR WITH EXCISION OF PROXIMAL FIBULA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27840,CLOSED TREATMENT OF ANKLE DISLOCATION; WITHOUT ANESTHESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27842,"CLOSED TREATMENT OF ANKLE DISLOCATION; REQUIRING ANESTHESIA, WITH OR WITHOUT PERCUTANEOUS SKELETAL FIXATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27846,"OPEN TREATMENT OF ANKLE DISLOCATION, WITH OR WITHOUT PERCUTANEOUS SKELETAL FIXATION; WITHOUT REPAIR OR INTERNAL FIXATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27848,"OPEN TREATMENT OF ANKLE DISLOCATION, WITH OR WITHOUT PERCUTANEOUS SKELETAL FIXATION; WITH REPAIR OR INTERNAL OR EXTERNAL FIXATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27860,MANIPULATION OF ANKLE UNDER GENERAL ANESTHESIA (INCLUDES APPLICATION OF TRACTION OR OTHER FIXATION APPARATUS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27870,"ARTHRODESIS, ANKLE, OPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27871,"ARTHRODESIS, TIBIOFIBULAR JOINT, PROXIMAL OR DISTAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27880,"AMPUTATION, LEG, THROUGH TIBIA AND FIBULA;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27881,"AMPUTATION, LEG, THROUGH TIBIA AND FIBULA; WITH IMMEDIATE FITTING TECHNIQUE INCLUDING APPLICATION OF FIRST CAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27882,"AMPUTATION, LEG, THROUGH TIBIA AND FIBULA; OPEN, CIRCULAR (GUILLOTINE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27884,"AMPUTATION, LEG, THROUGH TIBIA AND FIBULA; SECONDARY CLOSURE OR SCAR REVISION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27886,"AMPUTATION, LEG, THROUGH TIBIA AND FIBULA; RE-AMPUTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27888,"AMPUTATION, ANKLE, THROUGH MALLEOLI OF TIBIA AND FIBULA (EG, SYME, PIROGOFF TYPE PROCEDURES), WITH PLASTIC CLOSURE AND RESECTION OF NERVES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27889,ANKLE DISARTICULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27892,"DECOMPRESSION FASCIOTOMY, LEG; ANTERIOR AND/OR LATERAL COMPARTMENTS ONLY, WITH DEBRIDEMENT OF NONVIABLE MUSCLE AND/OR NERVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27893,"DECOMPRESSION FASCIOTOMY, LEG; POSTERIOR COMPARTMENT(S) ONLY, WITH DEBRIDEMENT OF NONVIABLE MUSCLE AND/OR NERVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27894,"DECOMPRESSION FASCIOTOMY, LEG; ANTERIOR AND/OR LATERAL, AND POSTERIOR COMPARTMENT(S), WITH DEBRIDEMENT OF NONVIABLE MUSCLE AND/OR NERVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27899,"UNLISTED PROCEDURE, LEG OR ANKLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28001,"INCISION AND DRAINAGE, BURSA, FOOT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28002,"INCISION AND DRAINAGE BELOW FASCIA, WITH OR WITHOUT TENDON SHEATH INVOLVEMENT, FOOT; SINGLE BURSAL SPACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28003,"INCISION AND DRAINAGE BELOW FASCIA, WITH OR WITHOUT TENDON SHEATH INVOLVEMENT, FOOT; MULTIPLE AREAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28005,"INCISION, BONE CORTEX (EG, OSTEOMYELITIS OR BONE ABSCESS), FOOT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28008,"FASCIOTOMY, FOOT AND/OR TOE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28010,"TENOTOMY, PERCUTANEOUS, TOE; SINGLE TENDON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28011,"TENOTOMY, PERCUTANEOUS, TOE; MULTIPLE TENDONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28020,"ARTHROTOMY, INCLUDING EXPLORATION, DRAINAGE, OR REMOVAL OF LOOSE OR FOREIGN BODY; INTERTARSAL OR TARSOMETATARSAL JOINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28022,"ARTHROTOMY, INCLUDING EXPLORATION, DRAINAGE, OR REMOVAL OF LOOSE OR FOREIGN BODY; METATARSOPHALANGEAL JOINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28024,"ARTHROTOMY, INCLUDING EXPLORATION, DRAINAGE, OR REMOVAL OF LOOSE OR FOREIGN BODY; INTERPHALANGEAL JOINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28035,"RELEASE, TARSAL TUNNEL (POSTERIOR TIBIAL NERVE DECOMPRESSION)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28039,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR TOE, SUBCUTANEOUS; 1.5 CM OR GREATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28041,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR TOE, SUBFASCIAL (EG, INTRAMUSCULAR); 1.5 CM OR GREATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28043,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR TOE, SUBCUTANEOUS; LESS THAN 1.5 CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28045,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR TOE, SUBFASCIAL (EG, INTRAMUSCULAR); LESS THAN 1.5 CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28046,"RADICAL RESECTION OF TUMOR (EG, SARCOMA), SOFT TISSUE OF FOOT OR TOE; LESS THAN 3 CM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28047,"RADICAL RESECTION OF TUMOR (EG, SARCOMA), SOFT TISSUE OF FOOT OR TOE; 3 CM OR GREATER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28050,ARTHROTOMY WITH BIOPSY; INTERTARSAL OR TARSOMETATARSAL JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28052,ARTHROTOMY WITH BIOPSY; METATARSOPHALANGEAL JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28054,ARTHROTOMY WITH BIOPSY; INTERPHALANGEAL JOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
